name,url,language,group,status,http_status,path,timestamp,final_url
New York Times,https://www.nytimes.com,English,News & Blogs/English,ok,200,data/raw/seed\www.nytimes.com.html,2025-09-13T11:10:38.102884Z,https://www.nytimes.com/
The Guardian,https://www.theguardian.com,English,News & Blogs/English,ok,200,data/raw/seed\www.theguardian.com.html,2025-09-13T11:10:44.545581Z,https://www.theguardian.com/international
Reuters,https://www.reuters.com,English,News & Blogs/English,ok,401,data/raw/seed\www.reuters.com.html,2025-09-13T11:10:51.286578Z,https://www.reuters.com/
Washington Post,https://www.washingtonpost.com,English,News & Blogs/English,error,,,2025-09-13T11:11:00.952619Z,
Forbes,https://www.forbes.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:11:17.564426Z,
TechCrunch,https://techcrunch.com,English,News & Blogs/English,ok,200,data/raw/seed\techcrunch.com.html,2025-09-13T11:11:18.264478Z,https://techcrunch.com/
The Next Web,https://thenextweb.com,English,News & Blogs/English,ok,200,data/raw/seed\thenextweb.com.html,2025-09-13T11:11:24.199512Z,https://thenextweb.com/
Medium,https://medium.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:11:30.822061Z,
Dev.to,https://dev.to,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:11:31.412508Z,
Mashable,https://mashable.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:11:32.714490Z,
Wall Street Journal,https://www.wsj.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:11:35.449681Z,
WIRED,https://www.wired.com,English,News & Blogs/English,ok,200,data/raw/seed\www.wired.com.html,2025-09-13T11:11:39.776334Z,https://www.wired.com/
NPR,https://www.npr.org,English,News & Blogs/English,error,,,2025-09-13T11:11:48.357751Z,
Vox,https://www.vox.com,English,News & Blogs/English,ok,200,data/raw/seed\www.vox.com.html,2025-09-13T11:12:05.906619Z,https://www.vox.com/
Bloomberg,https://www.bloomberg.com,English,News & Blogs/English,ok,403,data/raw/seed\www.bloomberg.com.html,2025-09-13T11:12:10.802743Z,https://www.bloomberg.com/
Seeking Alpha,https://www.seekingalpha.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:12:22.026363Z,
Engadget,https://www.engadget.com,English,News & Blogs/English,ok,200,data/raw/seed\www.engadget.com.html,2025-09-13T11:12:24.293235Z,https://www.engadget.com/
The Verge,https://www.theverge.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:12:30.384206Z,
Financial Times,https://www.ft.com,English,News & Blogs/English,ok,200,data/raw/seed\www.ft.com.html,2025-09-13T11:12:31.700076Z,https://www.ft.com/
Ars Technica,https://arstechnica.com,English,News & Blogs/English,ok,200,data/raw/seed\arstechnica.com.html,2025-09-13T11:12:37.927129Z,https://arstechnica.com/
CNET,https://www.cnet.com,English,News & Blogs/English,ok,200,data/raw/seed\www.cnet.com.html,2025-09-13T11:12:47.335683Z,https://www.cnet.com/
Slashdot,https://www.slashdot.org,English,News & Blogs/English,ok,200,data/raw/seed\www.slashdot.org.html,2025-09-13T11:12:52.311578Z,https://slashdot.org/
HuffPost,https://www.huffpost.com,English,News & Blogs/English,ok,200,data/raw/seed\www.huffpost.com.html,2025-09-13T11:13:05.632875Z,https://www.huffpost.com/
Al Jazeera (AR),https://www.aljazeera.net,Arabic,News & Blogs/Arabic,ok,200,data/raw/seed\www.aljazeera.net.html,2025-09-13T11:13:19.376174Z,https://www.aljazeera.net/
Sky News Arabia,https://www.skynewsarabia.com,Arabic,News & Blogs/Arabic,ok,200,data/raw/seed\www.skynewsarabia.com.html,2025-09-13T11:13:24.861442Z,https://validate.perfdrive.com/?ssa=264dce56-2a70-4728-8240-17a5379bf67d&ssb=78422236292&ssc=https%3A%2F%2Fwww.skynewsarabia.com%2F&ssi=9dcd9848-cf43-4a9d-a924-c25ac3c182da&ssk=botmanager_support@radware.com&ssm=46567296578034771100951792898948&ssn=4c05e02d954c3073f574eac9d30f765d75762249a06c-f8ee-4de6-84dcc8&sso=b773ac64-e8c9dbe41992213688651b791da9004bbe4daa58c6757494&ssp=38325495331757744932175776568237910&ssq=54444526200874820561562008980455747052936&ssr=MTAyLjg4LjEwOC4yNDM=&sst=InsightBotCrawler/0.1%20(+https://example.com;%20contact=admin@example.com)&ssu=&ssv=&ssw=&ssx=eyJyZCI6InNreW5ld3NhcmFiaWEuY29tIiwiX191em1mIjoiN2Y5MDAwMjI0OWEwNmMtZjhlZS00ZGU2LThjNjQtZThjOWRiZTQxOTkyMS0xNzU3NzYyMDA4ODAwMC0wMDAxY2U5ZTcyNWJmYWMzYThlMTAiLCJ1em14IjoiN2Y5MDAwYmVhNzEzZjEtMjM3NC00NDAyLTlhMzktMDg3NDRkYjQ5MzJmMS0xNzU3NzYyMDA4ODAwMC1hMTg0YjRlNzljZThlODVjMTAifQ==
Al Arabiya,https://www.alarabiya.net,Arabic,News & Blogs/Arabic,blocked_by_robots,,,2025-09-13T11:13:31.014075Z,
Akhbaar 24,https://www.akhbaar24.com,Arabic,News & Blogs/Arabic,ok,200,data/raw/seed\www.akhbaar24.com.html,2025-09-13T11:13:32.363494Z,https://www.akhbaar24.com/
Middle East Online,https://middle-east-online.com,Arabic,News & Blogs/Arabic,ok,200,data/raw/seed\middle-east-online.com.html,2025-09-13T11:13:36.758097Z,https://middle-east-online.com/
The National (EN+AR),https://www.thenationalnews.com,Arabic,News & Blogs/Arabic,ok,200,data/raw/seed\www.thenationalnews.com.html,2025-09-13T11:13:41.418275Z,https://www.thenationalnews.com/
CNN Arabic,https://arabic.cnn.com,Arabic,News & Blogs/Arabic,ok,200,data/raw/seed\arabic.cnn.com.html,2025-09-13T11:13:47.228448Z,https://arabic.cnn.com/
BBC Arabic,https://www.bbc.com/arabic,Arabic,News & Blogs/Arabic,ok,200,data/raw/seed\www.bbc.com.html,2025-09-13T11:13:52.376993Z,https://www.bbc.com/arabic
Masaar (EN+AR),https://www.masaar.com,Arabic,News & Blogs/Arabic,ok,200,data/raw/seed\www.masaar.com.html,2025-09-13T11:13:58.126680Z,https://masaar.com
9elp (Multilingual),https://9elp.com,Arabic,News & Blogs/Arabic,blocked_by_robots,,,2025-09-13T11:14:07.278863Z,
RT,https://www.rt.com,Russian,News & Blogs/Russian,blocked_by_robots,,,2025-09-13T11:14:18.910705Z,
TASS (EN+RU),https://tass.com,Russian,News & Blogs/Russian,ok,200,data/raw/seed\tass.com.html,2025-09-13T11:14:21.210319Z,https://tass.com/
RBC,https://www.rbc.ru,Russian,News & Blogs/Russian,ok,200,data/raw/seed\www.rbc.ru.html,2025-09-13T11:14:27.104646Z,https://www.rbc.ru/
Meduza (EN),https://meduza.io/en,Russian,News & Blogs/Russian,ok,200,data/raw/seed\meduza.io.html,2025-09-13T11:14:32.000952Z,https://meduza.io/en
Echo Moscow,https://www.echo.msk.ru,Russian,News & Blogs/Russian,ok,200,data/raw/seed\www.echo.msk.ru.html,2025-09-13T11:14:36.251872Z,https://ritmmsk.ru/
CNN,https://www.cnn.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:17:41.172877Z,
BBC,https://www.bbc.com,English,News & Blogs/English,ok,200,data\raw\seed\www.bbc.com.html,2025-09-13T11:17:41.594724Z,https://www.bbc.com/
New York Times,https://www.nytimes.com,English,News & Blogs/English,ok,200,data\raw\seed\www.nytimes.com.html,2025-09-13T11:17:45.483028Z,https://www.nytimes.com/
The Guardian,https://www.theguardian.com,English,News & Blogs/English,ok,200,data\raw\seed\www.theguardian.com.html,2025-09-13T11:17:50.603700Z,https://www.theguardian.com/international
Reuters,https://www.reuters.com,English,News & Blogs/English,ok,401,data\raw\seed\www.reuters.com.html,2025-09-13T11:17:58.090401Z,https://www.reuters.com/
Washington Post,https://www.washingtonpost.com,English,News & Blogs/English,error,,,2025-09-13T11:18:03.966012Z,
Forbes,https://www.forbes.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:18:20.438142Z,
TechCrunch,https://techcrunch.com,English,News & Blogs/English,ok,200,data\raw\seed\techcrunch.com.html,2025-09-13T11:18:21.290227Z,https://techcrunch.com/
The Next Web,https://thenextweb.com,English,News & Blogs/English,ok,200,data\raw\seed\thenextweb.com.html,2025-09-13T11:18:28.196838Z,https://thenextweb.com/
Medium,https://medium.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:18:32.899197Z,
Dev.to,https://dev.to,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:18:34.446009Z,
Mashable,https://mashable.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:18:38.119425Z,
Wall Street Journal,https://www.wsj.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:18:39.004494Z,
WIRED,https://www.wired.com,English,News & Blogs/English,ok,200,data\raw\seed\www.wired.com.html,2025-09-13T11:18:42.838318Z,https://www.wired.com/
NPR,https://www.npr.org,English,News & Blogs/English,error,,,2025-09-13T11:18:53.056980Z,
Vox,https://www.vox.com,English,News & Blogs/English,ok,200,data\raw\seed\www.vox.com.html,2025-09-13T11:19:09.522022Z,https://www.vox.com/
Bloomberg,https://www.bloomberg.com,English,News & Blogs/English,ok,403,data\raw\seed\www.bloomberg.com.html,2025-09-13T11:19:14.263851Z,https://www.bloomberg.com/
Seeking Alpha,https://www.seekingalpha.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:19:21.194219Z,
Engadget,https://www.engadget.com,English,News & Blogs/English,ok,200,data\raw\seed\www.engadget.com.html,2025-09-13T11:19:24.840806Z,https://www.engadget.com/
The Verge,https://www.theverge.com,English,News & Blogs/English,blocked_by_robots,,,2025-09-13T11:19:30.921546Z,
Financial Times,https://www.ft.com,English,News & Blogs/English,ok,200,data\raw\seed\www.ft.com.html,2025-09-13T11:19:38.290839Z,https://www.ft.com/
Ars Technica,https://arstechnica.com,English,News & Blogs/English,ok,200,data\raw\seed\arstechnica.com.html,2025-09-13T11:19:45.772760Z,https://arstechnica.com/
CNET,https://www.cnet.com,English,News & Blogs/English,ok,200,data\raw\seed\www.cnet.com.html,2025-09-13T11:19:57.098907Z,https://www.cnet.com/
Slashdot,https://www.slashdot.org,English,News & Blogs/English,ok,200,data\raw\seed\www.slashdot.org.html,2025-09-13T11:20:03.435292Z,https://slashdot.org/
HuffPost,https://www.huffpost.com,English,News & Blogs/English,ok,200,data\raw\seed\www.huffpost.com.html,2025-09-13T11:20:13.235337Z,https://www.huffpost.com/
Al Jazeera (AR),https://www.aljazeera.net,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.aljazeera.net.html,2025-09-13T11:20:18.945869Z,https://www.aljazeera.net/
Sky News Arabia,https://www.skynewsarabia.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.skynewsarabia.com.html,2025-09-13T11:20:24.531376Z,https://www.skynewsarabia.com/
Al Arabiya,https://www.alarabiya.net,Arabic,News & Blogs/Arabic,blocked_by_robots,,,2025-09-13T11:20:37.830075Z,
Akhbaar 24,https://www.akhbaar24.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.akhbaar24.com.html,2025-09-13T11:20:45.051706Z,https://www.akhbaar24.com/
Middle East Online,https://middle-east-online.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\middle-east-online.com.html,2025-09-13T11:20:51.669959Z,https://middle-east-online.com/
The National (EN+AR),https://www.thenationalnews.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.thenationalnews.com.html,2025-09-13T11:21:00.849762Z,https://www.thenationalnews.com/
CNN Arabic,https://arabic.cnn.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\arabic.cnn.com.html,2025-09-13T11:21:07.393247Z,https://arabic.cnn.com/
BBC Arabic,https://www.bbc.com/arabic,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.bbc.com.html,2025-09-13T11:21:16.681222Z,https://www.bbc.com/arabic
Masaar (EN+AR),https://www.masaar.com,Arabic,News & Blogs/Arabic,ok,200,data\raw\seed\www.masaar.com.html,2025-09-13T11:21:23.773401Z,https://masaar.com
9elp (Multilingual),https://9elp.com,Arabic,News & Blogs/Arabic,blocked_by_robots,,,2025-09-13T11:21:32.030332Z,
RT,https://www.rt.com,Russian,News & Blogs/Russian,ok,200,data\raw\seed\www.rt.com.html,2025-09-13T11:21:43.657080Z,https://www.rt.com/
TASS (EN+RU),https://tass.com,Russian,News & Blogs/Russian,ok,200,data\raw\seed\tass.com.html,2025-09-13T11:21:49.984917Z,https://tass.com/
RBC,https://www.rbc.ru,Russian,News & Blogs/Russian,ok,200,data\raw\seed\www.rbc.ru.html,2025-09-13T11:21:54.748200Z,https://www.rbc.ru/
Meduza (EN),https://meduza.io/en,Russian,News & Blogs/Russian,ok,200,data\raw\seed\meduza.io.html,2025-09-13T11:22:06.372809Z,https://meduza.io/en
Echo Moscow,https://www.echo.msk.ru,Russian,News & Blogs/Russian,ok,200,data\raw\seed\www.echo.msk.ru.html,2025-09-13T11:22:12.900559Z,https://ritmmsk.ru/
